pharmacist_id,name,phone,dob,address,salary
P69876,Tore Dommersen,351-285-4014,2022-09-24,3 Hoepker Trail,81000
P05334,Kimbell Petrushanko,578-542-4776,2021-11-10,38 Brickson Park Court,89000
P55863,Jarib Stille,645-908-4188,2022-08-17,6081 Dovetail Junction,41000
P45379,Nora Newark,989-960-0735,2022-04-13,046 Prentice Trail,93000
P89954,Lyle Billows,911-592-3945,2022-05-08,3 Farwell Lane,06000
P68323,Teena McKeighan,260-473-8150,2021-11-10,3 Haas Place,38000
P68197,Ward Longmaid,508-559-6057,2022-09-06,2238 Golf Course Junction,70000
P05781,Horatio Mintoft,258-937-7913,2022-08-27,0 Fieldstone Trail,95000
P58588,Van Hollidge,938-710-0903,2022-04-22,08872 Stephen Park,36000
P89273,Carlyn Terrazzo,700-564-9510,2021-12-31,0103 Transport Park,49000
P99753,Odo Rosin,123-991-3576,2022-03-11,95574 Pawling Place,26000
P85435,Franklin Janczewski,690-247-9069,2021-11-22,649 Northport Plaza,80000
P65047,Barr Gricks,128-482-5727,2022-01-23,016 Dayton Alley,23000
P58210,Farrand Karpov,522-119-9990,2022-07-20,9767 6th Circle,37000
P18324,Paulette McPaike,289-859-9932,2022-04-30,3282 Melrose Point,16000
P51517,Maighdiln Jime,772-326-6079,2022-01-03,7205 Oak Terrace,87000
P53910,Gerta Klewer,746-482-4369,2022-05-01,017 Melby Terrace,35000
P52570,Imojean Dibnah,511-192-6538,2021-12-20,7213 Elmside Plaza,99000
P94017,Wendell MacGuiness,512-797-9574,2022-01-19,2 Hoffman Court,60000
P77214,Pauletta Hubner,764-299-8666,2021-11-18,106 Lighthouse Bay Crossing,13000
P67454,Noni Broszkiewicz,823-922-4815,2022-04-12,9598 Fordem Lane,49000
P41288,Jamil Bellinger,926-613-8652,2022-10-08,5 Longview Pass,37000
P40169,Lorens Pigot,819-931-7751,2022-08-04,208 Eagan Parkway,90000
P88224,Everett MacTrustam,228-807-9713,2022-04-13,38 Pankratz Place,43000
P73394,Filip Lenihan,238-466-3824,2022-01-16,5 Carioca Parkway,97000
P55826,Callean Espinas,576-218-1798,2021-11-07,21 Melody Crossing,73000
P48137,Geoff Hospital,391-548-8463,2021-12-23,3 Doe Crossing Park,96000
P76996,Alleyn Stockin,767-242-2563,2022-06-25,621 Talmadge Crossing,65000
P31660,Aldo Heining,177-258-9834,2022-06-04,2517 Morrow Avenue,52000
